来源编号,学校名称,城市,学校类型,是否重点监控,来源名称,来源类型,来源链接,主要关注内容,建议查看频率,最后检查日期,当前状态,备注
SRC-011-R,中原工学院,郑州,普通本科,是,人事处人才招聘,招聘/通知入口,https://rsc.zut.edu.cn/rczp.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才招聘栏目
SRC-011-H,中原工学院,郑州,普通本科,是,人事处,人事/人才工作网站,https://rsc.zut.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-011-W,中原工学院,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-012-R,郑州航空工业管理学院,郑州,普通本科,是,人事处人才招聘,招聘/通知入口,https://rsc.zua.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1039,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才招聘栏目
SRC-012-H,郑州航空工业管理学院,郑州,普通本科,是,人事处教师发展中心,人事/人才工作网站,https://rsc.zua.edu.cn/index.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-012-W,郑州航空工业管理学院,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-013-R,河南科技学院,新乡,普通本科,是,人事处招聘信息,招聘/通知入口,https://rsc.hist.edu.cn/rczp/zpxx.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处招聘信息栏目
SRC-013-H,河南科技学院,新乡,普通本科,是,人事处党委教师工作部,人事/人才工作网站,https://rsc.hist.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-013-W,河南科技学院,新乡,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-014-R,信阳师范大学,信阳,普通本科,是,学校官网人才招聘入口,招聘/通知入口,https://www.xynu.edu.cn/site.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官网校园直通车含人才招聘入口
SRC-014-H,信阳师范大学,信阳,普通本科,是,人事处人才办,人事/人才工作网站,,辅导员/教师/人才引进,每周2次,2026-09-06,待核验,官网确认部门存在但未确认独立网址
SRC-014-W,信阳师范大学,信阳,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-015-R,洛阳师范学院,洛阳,普通本科,是,人事处人才招聘,招聘/通知入口,https://sites.lynu.edu.cn/rsc/rczp.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才招聘栏目
SRC-015-H,洛阳师范学院,洛阳,普通本科,是,人事处,人事/人才工作网站,https://sites.lynu.edu.cn/rsc/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-015-W,洛阳师范学院,洛阳,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-016-R,南阳师范学院,南阳,普通本科,是,人事处人才招聘,招聘/通知入口,https://www2.nynu.edu.cn/xzbm/renshichu/rczp.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才招聘栏目
SRC-016-H,南阳师范学院,南阳,普通本科,是,人事处党委教师工作部,人事/人才工作网站,https://www2.nynu.edu.cn/xzbm/renshichu/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-016-W,南阳师范学院,南阳,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-017-R,安阳师范学院,安阳,普通本科,是,人事处人才招聘,招聘/通知入口,https://rsc.aynu.edu.cn/rczp.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才招聘栏目
SRC-017-H,安阳师范学院,安阳,普通本科,是,人事处,人事/人才工作网站,https://rsc.aynu.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-017-W,安阳师范学院,安阳,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-018-R,周口师范学院,周口,普通本科,是,招聘/通知入口,招聘/通知入口,,辅导员/教师/人才引进,每周2次,2026-09-06,待核验,未确认面向教职工招聘的官方入口
SRC-018-H,周口师范学院,周口,普通本科,是,人事/人才工作网站,人事/人才工作网站,,辅导员/教师/人才引进,每周2次,2026-09-06,待核验,未确认官方人事网站
SRC-018-W,周口师范学院,周口,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-019-R,商丘师范学院,商丘,普通本科,是,人事处招聘信息,招聘/通知入口；人事/人才工作网站,https://rsc.sqnu.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,首页发布高层次人才招聘公告
SRC-019-W,商丘师范学院,商丘,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-020-R,许昌学院,许昌,普通本科,是,人事处招聘信息,招聘/通知入口,https://renshichunew.xcu.edu.cn/zpxx.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处招聘信息栏目
SRC-020-H,许昌学院,许昌,普通本科,是,党委教师工作部人事处,人事/人才工作网站,https://renshichunew.xcu.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-020-W,许昌学院,许昌,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-021-R,郑州师范学院,郑州,普通本科,是,人事处招聘信息,招聘/通知入口,https://rsc.zznu.edu.cn/rsxx/zpxx.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处招聘信息栏目
SRC-021-H,郑州师范学院,郑州,普通本科,是,人事处教师工作部教师发展中心,人事/人才工作网站,https://rsc.zznu.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-021-W,郑州师范学院,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-022-R,平顶山学院,平顶山,普通本科,是,人事处人才引进,招聘/通知入口,https://rsc.pdsu.edu.cn/rcyj.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才引进栏目
SRC-022-H,平顶山学院,平顶山,普通本科,是,人事处,人事/人才工作网站,https://rsc.pdsu.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-022-W,平顶山学院,平顶山,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-023-R,黄淮学院,驻马店,普通本科,是,学校官网人才招聘入口,招聘/通知入口,https://www1.huanghuai.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官网首页含人才招聘入口
SRC-023-H,黄淮学院,驻马店,普通本科,是,人事/人才工作网站,人事/人才工作网站,,辅导员/教师/人才引进,每周2次,2026-09-06,待核验,未确认官方人事网站
SRC-023-W,黄淮学院,驻马店,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-024-R,新乡学院,新乡,普通本科,是,人事处人才招聘,招聘/通知入口；人事/人才工作网站,https://rsc.xxu.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,首页设人才招聘栏目
SRC-024-W,新乡学院,新乡,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-025-R,河南牧业经济学院,郑州,普通本科,是,人事处人才招聘,招聘/通知入口,https://renshi.hnuahe.edu.cn/rczp.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才招聘栏目
SRC-025-H,河南牧业经济学院,郑州,普通本科,是,人事处人才工作办公室,人事/人才工作网站,https://renshi.hnuahe.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-025-W,河南牧业经济学院,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
